,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42
MDB,0.22633937612600485,0.7591817833628581,-0.2497636719717704,0.34893415698398117,0.06768722345298997,-0.12069097438098707,-0.04294032117849012,-0.08739616635438449,-0.014787557560461594,0.20778246257408536,-0.19546486005552216,-0.003200176423347642,-0.14095678194431843,-0.09315312792615227,-0.06734643885931652,0.08343046473100785,0.11666117708306323,0.14983361592519093,0.043992186098709314,5.898548614681179e-10,7.027309589846341e-09,-1.035088662892094e-09,-2.942033399689633e-09,-3.4512915656974566e-09,2.891736614960619e-09,-1.5833800061532668e-10,6.805506653821458e-10,1.3513389817647342e-09,1.6436839129013636e-09,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
U,0.357575006595715,0.5895160487904684,0.3367158480566682,0.18401254276993592,-0.029593559563030083,0.30073619139649177,-0.2405874103880701,-0.018882796978739857,0.1496139528558255,-0.2303940040368871,0.09476108382484257,-0.196325365454056,-0.18940124090135083,-0.24377658042320058,0.003315029639682001,-0.013379077995360021,0.06883137021305635,-0.05722897458948674,0.0363877653367516,1.873144691741934e-09,-2.703888259067235e-10,-4.762579443169775e-09,9.749956490294863e-10,1.4991193748409e-09,2.3162880011476344e-09,-5.310524602424621e-09,-2.6807737898896845e-09,-8.142146295113796e-10,-7.057347389900274e-11,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
CDNS,0.7146569962340932,0.35867412668026566,-0.1896294248889931,0.2820852087925883,-0.032506708988439555,-0.06820893079719444,-0.07857838600814898,0.07884787399477877,0.026758482991195456,-0.0496732546322834,-0.26378192582288823,0.1652123411410849,0.24629773708396313,-0.1145793674564154,-0.009952534670088642,-0.17264975268644034,0.05419012221628406,-0.027169635778326855,-0.1398354193083381,-1.1455453187378014e-08,-8.133625524253129e-09,8.739913232261993e-10,2.6151279378542854e-09,2.0721807329712054e-09,2.1614539692005166e-09,2.2223377222737815e-09,-4.3185261699540175e-09,1.8024674119946492e-09,1.1286417379458833e-09,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
AMZN,0.48301058759200144,-0.08165576650274305,0.5498333564691698,0.07703313521056714,0.34965066212152257,0.4558552387605233,0.2623675106005283,-0.0024538744485093234,-0.1469101262174957,0.08274382332890012,0.10623864943336155,-0.04119521981111941,-0.04783928406673278,0.0636526690308864,0.019480207094201094,-0.024194767352072166,-0.05278185110123671,0.023893988691248532,0.02837559785597529,-3.831421259690653e-09,1.7221881878217915e-09,-4.504952253574784e-09,3.4939762992149705e-09,3.615990433179033e-10,2.6006713670750372e-09,2.134563146816938e-11,-5.8611905650236686e-09,1.1515758511006399e-09,-2.3196296283884437e-09,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0
GOOG,0.12430285556408423,0.030094649288942073,0.7336084844692465,0.3705640165217003,0.07261627074611846,0.2704362298613338,-0.1608149631091219,-0.31115352034932403,0.03719821477894523,-0.19429387239348908,-0.06753183460657197,-0.11750458399844449,0.12371205477898001,0.0917861206169968,0.1252724319501849,0.0059838518208296925,-0.03425274195538905,0.08687703223484974,-0.037097929968198926,-1.7242576433845193e-09,6.524819271151596e-09,-4.876812284619709e-09,3.786789117066119e-09,3.173389418027986e-10,-5.8162758228917925e-09,-3.518365183587503e-10,3.3401667535109287e-09,4.263178537966873e-09,2.1844609259808683e-09,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
TSLA,0.8090992527049222,-0.4119842846984601,0.0738214240630357,-0.11519028769746792,0.26299481560516896,0.1202250782326123,-0.13036995087409547,0.09087932253266931,0.08961112176785027,-0.10494010371429766,0.0024951429205134395,-0.00545568264510079,-0.11105187214474015,0.075568239370045,-0.01192283376686477,-0.05966792580581277,-0.00544209772900925,-0.021087318291166876,0.08206627193949227,-7.506160971463079e-09,7.215787838109894e-10,4.659338056743204e-09,-5.582338903251162e-09,3.7107670131359866e-09,-2.8323725453348666e-09,-3.0388533012393423e-09,-4.145647721358893e-09,-7.959198562554561e-10,3.788793164098729e-09,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
DELL,0.4446196984774857,0.6318208383452457,-0.1546673403356393,-0.41961003592905577,0.026024019566927466,0.092589802497015,0.10401757264313106,-0.07400429696113388,0.2080153347627453,-0.27366665459204714,-0.07602667311467061,0.08762144949266419,0.013376749302325335,0.1306223737404415,0.0777964932799432,0.012838273346934157,-0.14895799625696204,0.017208614611506936,0.0032406210717981746,-3.67034251686933e-10,-7.336935157460118e-09,-1.8377325986003184e-09,1.8482147206218166e-09,2.6482587872858164e-09,3.4612698029856045e-09,1.0161063755032863e-09,3.5884020527783126e-10,-3.933559161708753e-10,-1.7151978863245122e-09,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
UBER,0.22152348940440528,0.5765162551987816,0.34354319067085154,0.47179363106241756,-0.1764104480131473,-0.18895984449816275,-0.14302199746020297,0.01932429644456626,-0.18833660407917163,0.10251189297741149,0.10888480336956631,0.2569176868050262,-0.13092257364078394,0.161329492819743,-0.026360887331246984,-0.012974536157423295,-0.13039829676974132,-0.046104597784064914,0.05733702721551327,2.578546174178927e-09,-8.844172130461103e-09,1.103974335469183e-10,-6.367776711188905e-09,-1.883768509562141e-09,2.354701925727186e-09,1.6223699521372347e-10,-2.830857427686745e-10,2.514765954195582e-09,3.1023737149263057e-09,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
IONQ,0.7634752944506825,-0.11566389868051329,-0.2193459942992272,-0.12922999614829653,0.34549320322189153,0.20416572419922074,0.1846347697755683,0.0622385247405318,-0.058164325151479394,-0.16370298620744173,-0.1420123883159361,0.02701088057043289,-0.06792448314577991,-0.1153688260166439,-0.24135317099746106,0.0209761686426993,-0.09216107139894626,-0.01450997396829394,-0.05918895531386451,-1.1897686548555855e-09,2.8194100708225757e-09,1.1752695472912278e-09,-3.524571879438217e-10,-1.5405973513838248e-09,-6.2991842024778235e-09,2.4808949761108718e-09,-1.885550583922267e-09,-9.872191343199072e-10,3.453854559469853e-09,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
NKE,0.3307641042002499,0.12244369790069885,0.7951407501605112,0.0676972279763573,0.24307276543144635,-0.23766090225212208,0.14673684686330232,-0.050186981264906685,-0.08373225757479497,0.09899167049107202,-0.010139770770322106,0.12368186877469303,-0.12229110580230552,-0.09618709092195386,-0.14442532693110827,-0.11418030185929891,-0.029505779851374585,0.07278756870535587,0.051685993198378466,-3.898199541168406e-09,1.4638891658155743e-09,1.1603260499632027e-08,1.0776458857720622e-08,-4.258504766443631e-10,9.283964551303828e-10,7.003511406219028e-10,1.972138808018402e-09,-3.5481306062253046e-10,-2.094444656600879e-09,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
LULU,0.6782177423012876,0.1650537153307153,0.45097209178297654,0.06927898533208005,0.24021772358974233,-0.1635249638546777,0.22025859383863736,0.261254631356001,-0.1689737932933764,-0.004137800832357772,-0.06141467788629638,0.21871678035398318,0.12857156750319756,0.031940338856968176,0.03468808999806087,0.010541933511240244,0.05588309471451394,-0.033616941323363674,0.00966724072804982,1.0137167927214762e-09,3.7207319317811647e-09,-7.528025153798827e-09,-1.3382310153323052e-09,-1.4733277470324968e-09,-6.19458117749085e-09,-6.8689320446677944e-09,4.8289557495661724e-09,-4.232354493059256e-09,-9.552937616366746e-10,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
AS,0.5025174003004921,-0.0695251881485603,0.5155838399142867,0.08076376714757279,-0.21387945242617054,-0.14770207621156023,0.24010636689975834,-0.16703681471133092,0.38251503823111493,0.20025724487065916,0.11119203843668626,-0.22996848692871297,0.22044110855623317,0.02674917138669046,-0.02889198364729305,-0.10503893833746833,0.040369734797366025,0.02016328628569061,0.04792126641059101,8.220621711043868e-09,-8.740464395111402e-09,2.7219034116238266e-09,-8.160237740644774e-10,4.710295151749638e-09,3.78329314016202e-11,2.5710777921248492e-09,1.168445916225557e-09,-1.5597403717201124e-09,1.8282445342677079e-09,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
