ticker,date,close,n_detectors,detectors,trend
GFS,2026-05-21,79.82,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
IBM,2026-05-21,244.33,5,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion,down
ARM,2026-05-21,291.49,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
ENPH,2026-05-21,61.38,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
MS,2026-05-21,198.51,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
RL,2026-05-21,374.56,4,fast_donchian+gap_go+range_expansion+trend_continuation,weak
AAPL,2026-05-21,304.13,3,fast_donchian+donchian_20+six_month_high,up
FRT,2026-05-21,117.45,3,fast_donchian+donchian_20+six_month_high,up
MET,2026-05-21,83.63,3,fast_donchian+donchian_20+six_month_high,up
MRVL,2026-05-21,193.27,3,six_month_high+gap_go+trend_continuation,up
PANW,2026-05-21,251.38,3,fast_donchian+donchian_20+six_month_high,up
PFG,2026-05-21,103.34,3,fast_donchian+donchian_20+six_month_high,up
MRK,2026-05-21,115.41,3,fast_donchian+donchian_20+squeeze_release,weak
WSM,2026-05-21,190.99,2,fast_donchian+range_expansion,down
DDOG,2026-05-21,216.62,2,six_month_high+trend_continuation,up
FSLR,2026-05-21,250.66,2,fast_donchian+donchian_20,up
LRCX,2026-05-21,300.93,2,six_month_high+trend_continuation,up
AMT,2026-05-21,184.37,2,fast_donchian+donchian_20,weak
HON,2026-05-21,223.77,2,fast_donchian+donchian_20,weak
LLY,2026-05-21,1044.45,2,fast_donchian+donchian_20,weak
COO,2026-05-21,62.93,1,fast_donchian,down
EXC,2026-05-21,45.18,1,fast_donchian,down
HRL,2026-05-21,20.95,1,fast_donchian,down
IT,2026-05-21,156.55,1,squeeze_release,down
SYY,2026-05-21,76.25,1,fast_donchian,down
ASML,2026-05-21,1588.17,1,trend_continuation,up
CDNS,2026-05-21,358.36,1,trend_continuation,up
D,2026-05-21,68.22,1,six_month_high,up
DAL,2026-05-21,74.39,1,trend_continuation,up
DELL,2026-05-21,250.24,1,trend_continuation,up
DLR,2026-05-21,192.14,1,trend_continuation,up
FDX,2026-05-21,387.67,1,trend_continuation,up
JBL,2026-05-21,352.98,1,trend_continuation,up
KLAC,2026-05-21,1859.89,1,trend_continuation,up
LIN,2026-05-21,515.03,1,six_month_high,up
MU,2026-05-21,757.5,1,trend_continuation,up
STLD,2026-05-21,230.66,1,trend_continuation,up
STX,2026-05-21,795.76,1,trend_continuation,up
TER,2026-05-21,355.97,1,trend_continuation,up
VRSN,2026-05-21,306.21,1,six_month_high,up
AZN,2026-05-21,189.67,1,fast_donchian,weak
CB,2026-05-21,330.61,1,squeeze_release,weak
ES,2026-05-21,70.03,1,fast_donchian,weak
NDSN,2026-05-21,285.81,1,trend_continuation,weak
WBD,2026-05-21,27.34,1,squeeze_release,weak
