ticker,date,close,n_detectors,detectors,trend
NTRS,2026-06-12,174.34,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
TGT,2026-06-12,135.23,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
AIZ,2026-06-12,260.99,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
AMAT,2026-06-12,567.25,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
C,2026-06-12,139.83,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CFG,2026-06-12,67.65,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CVS,2026-06-12,101.96,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
DVA,2026-06-12,208.66,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FITB,2026-06-12,54.73,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
GL,2026-06-12,166.76,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
HUM,2026-06-12,379.22,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
JBL,2026-06-12,384.82,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
LIN,2026-06-12,523.57,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
LRCX,2026-06-12,366.81,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MAR,2026-06-12,402.54,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MET,2026-06-12,88.84,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NUE,2026-06-12,266.35,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
PFG,2026-06-12,111.12,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
RL,2026-06-12,403.98,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
SPG,2026-06-12,219.04,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
STLD,2026-06-12,282.76,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
STT,2026-06-12,167.63,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
TROW,2026-06-12,109.64,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
AXP,2026-06-12,325.44,3,fast_donchian+donchian_20+squeeze_release,up
BBY,2026-06-12,78.53,3,fast_donchian+donchian_20+six_month_high,up
CHRW,2026-06-12,193.74,3,fast_donchian+donchian_20+trend_continuation,up
DRI,2026-06-12,211.47,3,fast_donchian+donchian_20+trend_continuation,up
IVZ,2026-06-12,28.92,3,fast_donchian+donchian_20+trend_continuation,up
JPM,2026-06-12,320.72,3,fast_donchian+donchian_20+trend_continuation,up
KEY,2026-06-12,22.7,3,fast_donchian+donchian_20+trend_continuation,up
KHC,2026-06-12,24.39,3,fast_donchian+donchian_20+six_month_high,up
LW,2026-06-12,45.38,3,fast_donchian+donchian_20+squeeze_release,up
MAS,2026-06-12,74.03,3,fast_donchian+donchian_20+trend_continuation,up
MNST,2026-06-12,92.83,3,fast_donchian+donchian_20+six_month_high,up
MTB,2026-06-12,231.88,3,fast_donchian+donchian_20+trend_continuation,up
PKG,2026-06-12,228.23,3,fast_donchian+donchian_20+trend_continuation,up
PLD,2026-06-12,148.74,3,fast_donchian+donchian_20+six_month_high,up
PPG,2026-06-12,119.34,3,fast_donchian+donchian_20+trend_continuation,up
SWK,2026-06-12,83.62,3,fast_donchian+donchian_20+trend_continuation,up
TFC,2026-06-12,51.66,3,fast_donchian+donchian_20+trend_continuation,up
USB,2026-06-12,58.94,3,fast_donchian+donchian_20+trend_continuation,up
WSM,2026-06-12,223.54,3,fast_donchian+donchian_20+six_month_high,up
TPR,2026-06-12,147.42,3,fast_donchian+donchian_20+trend_continuation,weak
AMCR,2026-06-12,40.6,2,fast_donchian+donchian_20,down
DPZ,2026-06-12,323.88,2,fast_donchian+donchian_20,down
GPC,2026-06-12,103.75,2,fast_donchian+donchian_20,down
HD,2026-06-12,328.39,2,fast_donchian+donchian_20,down
IP,2026-06-12,36.15,2,fast_donchian+donchian_20,down
SHW,2026-06-12,317.3,2,fast_donchian+donchian_20,down
ARM,2026-06-12,380.81,2,gap_go+trend_continuation,up
BAC,2026-06-12,56.02,2,fast_donchian+donchian_20,up
BX,2026-06-12,122.79,2,fast_donchian+squeeze_release,up
CCEP,2026-06-12,99.34,2,fast_donchian+donchian_20,up
CCL,2026-06-12,29.18,2,fast_donchian+donchian_20,up
CSX,2026-06-12,47.57,2,six_month_high+squeeze_release,up
D,2026-06-12,67.91,2,fast_donchian+six_month_high,up
DAL,2026-06-12,83.06,2,six_month_high+trend_continuation,up
GE,2026-06-12,335.3,2,fast_donchian+donchian_20,up
HBAN,2026-06-12,17.52,2,fast_donchian+donchian_20,up
HRL,2026-06-12,24.75,2,fast_donchian+donchian_20,up
HSIC,2026-06-12,81.25,2,fast_donchian+donchian_20,up
HST,2026-06-12,24.89,2,six_month_high+trend_continuation,up
HWM,2026-06-12,264.67,2,fast_donchian+trend_continuation,up
IFF,2026-06-12,78.27,2,squeeze_release+trend_continuation,up
LUV,2026-06-12,45.47,2,fast_donchian+donchian_20,up
LYV,2026-06-12,172.51,2,six_month_high+trend_continuation,up
OMC,2026-06-12,76.68,2,fast_donchian+donchian_20,up
PNC,2026-06-12,237.66,2,fast_donchian+donchian_20,up
PRU,2026-06-12,108.5,2,fast_donchian+donchian_20,up
ROST,2026-06-12,240.13,2,six_month_high+trend_continuation,up
