ticker,date,close,n_detectors,detectors,trend
CNC,2026-06-08,65.03,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ELV,2026-06-08,418.15,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
HUM,2026-06-08,355.98,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
UNH,2026-06-08,406.57,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CHRW,2026-06-08,188.14,3,fast_donchian+donchian_20+trend_continuation,up
CZR,2026-06-08,29.32,3,fast_donchian+donchian_20+six_month_high,up
DXCM,2026-06-08,76.62,3,fast_donchian+donchian_20+six_month_high,up
EXPD,2026-06-08,163.44,3,fast_donchian+donchian_20+squeeze_release,up
MOH,2026-06-08,198.41,3,fast_donchian+donchian_20+trend_continuation,up
BXP,2026-06-08,64.53,2,fast_donchian+donchian_20,up
CVS,2026-06-08,97.08,2,fast_donchian+trend_continuation,up
HSIC,2026-06-08,78.05,2,fast_donchian+donchian_20,up
ODFL,2026-06-08,247.01,2,six_month_high+trend_continuation,up
BDX,2026-06-08,149.99,1,squeeze_release,down
COIN,2026-06-08,162.11,1,gap_go,down
AMAT,2026-06-08,492.17,1,gap_go,up
AMD,2026-06-08,490.33,1,gap_go,up
ASML,2026-06-08,1749.04,1,gap_go,up
CFG,2026-06-08,64.35,1,trend_continuation,up
CI,2026-06-08,289.61,1,trend_continuation,up
CMI,2026-06-08,672.68,1,gap_go,up
CPT,2026-06-08,112.97,1,six_month_high,up
CSX,2026-06-08,47.11,1,six_month_high,up
EXR,2026-06-08,145.0,1,squeeze_release,up
FOX,2026-06-08,60.34,1,fast_donchian,up
FOXA,2026-06-08,67.44,1,fast_donchian,up
GWW,2026-06-08,1304.57,1,six_month_high,up
IEX,2026-06-08,218.59,1,six_month_high,up
JBHT,2026-06-08,288.17,1,six_month_high,up
KEY,2026-06-08,21.79,1,trend_continuation,up
KIM,2026-06-08,24.24,1,trend_continuation,up
KLAC,2026-06-08,2108.06,1,gap_go,up
KO,2026-06-08,79.54,1,trend_continuation,up
LLY,2026-06-08,1149.15,1,six_month_high,up
LRCX,2026-06-08,324.45,1,gap_go,up
MNST,2026-06-08,88.47,1,squeeze_release,up
MPWR,2026-06-08,1559.18,1,gap_go,up
MRVL,2026-06-08,288.85,1,gap_go,up
MTB,2026-06-08,222.63,1,trend_continuation,up
MU,2026-06-08,949.28,1,gap_go,up
RF,2026-06-08,28.56,1,trend_continuation,up
RL,2026-06-08,372.85,1,trend_continuation,up
SMCI,2026-06-08,43.99,1,gap_go,up
CCEP,2026-06-08,95.25,1,trend_continuation,weak
PCAR,2026-06-08,118.44,1,trend_continuation,weak
