ticker,date,close,n_detectors,detectors,trend
ARM,2026-05-28,337.08,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
A,2026-05-28,137.59,5,fast_donchian+donchian_20+gap_go+range_expansion+squeeze_release,up
DELL,2026-05-28,320.84,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
MSCI,2026-05-28,624.49,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
BBY,2026-05-28,76.22,5,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion,weak
DLTR,2026-05-28,112.75,5,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion,weak
AMD,2026-05-28,517.0,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FSLR,2026-05-28,305.63,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
GNRC,2026-05-28,280.87,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MGM,2026-05-28,43.03,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NUE,2026-05-28,249.92,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
SMCI,2026-05-28,41.53,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
STLD,2026-05-28,260.92,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
HRL,2026-05-28,23.81,4,fast_donchian+donchian_20+gap_go+range_expansion,weak
AXON,2026-05-28,445.85,3,fast_donchian+donchian_20+range_expansion,down
TMO,2026-05-28,487.42,3,fast_donchian+donchian_20+range_expansion,down
DDOG,2026-05-28,228.12,3,fast_donchian+donchian_20+six_month_high,up
F,2026-05-28,16.65,3,fast_donchian+donchian_20+six_month_high,up
LLY,2026-05-28,1128.59,3,fast_donchian+donchian_20+six_month_high,up
APTV,2026-05-28,63.66,2,fast_donchian+donchian_20,down
DHR,2026-05-28,180.42,2,fast_donchian+donchian_20,down
FICO,2026-05-28,1309.42,2,fast_donchian+donchian_20,down
IQV,2026-05-28,180.0,2,fast_donchian+range_expansion,down
KMX,2026-05-28,43.83,2,fast_donchian+donchian_20,down
MOS,2026-05-28,23.98,2,fast_donchian+donchian_20,down
NKE,2026-05-28,47.47,2,fast_donchian+donchian_20,down
TDG,2026-05-28,1263.48,2,fast_donchian+donchian_20,down
AMZN,2026-05-28,273.83,2,fast_donchian+trend_continuation,up
APP,2026-05-28,605.1,2,fast_donchian+donchian_20,up
CZR,2026-05-28,29.06,2,fast_donchian+donchian_20,up
DAL,2026-05-28,82.34,2,six_month_high+trend_continuation,up
FDS,2026-05-28,243.0,2,fast_donchian+donchian_20,up
GM,2026-05-28,84.54,2,fast_donchian+donchian_20,up
JBHT,2026-05-28,272.81,2,six_month_high+trend_continuation,up
ODFL,2026-05-28,222.62,2,fast_donchian+trend_continuation,up
ORCL,2026-05-28,204.14,2,fast_donchian+donchian_20,up
STX,2026-05-28,883.24,2,six_month_high+trend_continuation,up
UAL,2026-05-28,114.88,2,fast_donchian+donchian_20,up
WAT,2026-05-28,362.76,2,fast_donchian+donchian_20,up
WST,2026-05-28,323.33,2,fast_donchian+trend_continuation,up
ALGN,2026-05-28,173.44,2,fast_donchian+range_expansion,weak
CRL,2026-05-28,183.26,2,fast_donchian+range_expansion,weak
EXR,2026-05-28,145.74,2,fast_donchian+donchian_20,weak
GD,2026-05-28,349.45,2,fast_donchian+squeeze_release,weak
GE,2026-05-28,321.3,2,fast_donchian+donchian_20,weak
HSIC,2026-05-28,76.65,2,fast_donchian+donchian_20,weak
LMT,2026-05-28,536.91,2,fast_donchian+donchian_20,weak
RTX,2026-05-28,179.49,2,fast_donchian+donchian_20,weak
TPR,2026-05-28,144.35,2,fast_donchian+trend_continuation,weak
WY,2026-05-28,24.57,2,fast_donchian+trend_continuation,weak
CTSH,2026-05-28,53.99,1,fast_donchian,down
DG,2026-05-28,110.54,1,fast_donchian,down
IDXX,2026-05-28,568.05,1,fast_donchian,down
IP,2026-05-28,33.44,1,fast_donchian,down
J,2026-05-28,119.04,1,fast_donchian,down
MTD,2026-05-28,1160.2,1,fast_donchian,down
NOW,2026-05-28,109.98,1,gap_go,down
PLTR,2026-05-28,142.77,1,fast_donchian,down
TECH,2026-05-28,51.0,1,fast_donchian,down
AAPL,2026-05-28,311.09,1,six_month_high,up
ADM,2026-05-28,79.93,1,trend_continuation,up
BA,2026-05-28,228.93,1,trend_continuation,up
CPT,2026-05-28,108.16,1,squeeze_release,up
EMN,2026-05-28,76.44,1,trend_continuation,up
FCX,2026-05-28,65.55,1,trend_continuation,up
GS,2026-05-28,1006.91,1,six_month_high,up
HLT,2026-05-28,336.73,1,trend_continuation,up
IFF,2026-05-28,77.94,1,trend_continuation,up
MDLZ,2026-05-28,62.4,1,six_month_high,up
MS,2026-05-28,203.88,1,six_month_high,up
PAYX,2026-05-28,95.75,1,squeeze_release,up
RVTY,2026-05-28,101.5,1,fast_donchian,up
TEAM,2026-05-28,94.81,1,fast_donchian,up
UPS,2026-05-28,106.48,1,fast_donchian,up
APH,2026-05-28,147.23,1,fast_donchian,weak
DGX,2026-05-28,196.46,1,squeeze_release,weak
LHX,2026-05-28,314.58,1,fast_donchian,weak
TDY,2026-05-28,633.68,1,trend_continuation,weak
