ticker,date,close,n_detectors,detectors,trend
HPE,2026-06-01,47.0,7,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion+trend_continuation,up
MGM,2026-06-01,50.69,7,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion+trend_continuation,up
ARM,2026-06-01,408.85,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
CDNS,2026-06-01,414.16,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
HUM,2026-06-01,328.31,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
AVGO,2026-06-01,459.97,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
DDOG,2026-06-01,277.49,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
DELL,2026-06-01,465.96,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
MRVL,2026-06-01,219.43,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
MU,2026-06-01,1035.5,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
ORCL,2026-06-01,248.15,5,fast_donchian+donchian_20+six_month_high+volume_thrust+range_expansion,up
CRM,2026-06-01,209.6,4,fast_donchian+donchian_20+gap_go+range_expansion,down
NOW,2026-06-01,135.86,4,fast_donchian+donchian_20+gap_go+range_expansion,down
ADM,2026-06-01,82.62,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CNC,2026-06-01,62.0,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CRWD,2026-06-01,782.17,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-06-01,147.14,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
GEN,2026-06-01,27.76,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
GS,2026-06-01,1048.58,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
IBM,2026-06-01,320.42,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
JBHT,2026-06-01,279.46,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
