ticker,date,close,n_detectors,detectors,trend
DXCM,2026-07-31,83.45,7,fast_donchian+donchian_20+six_month_high+volume_thrust+gap_go+range_expansion+trend_continuation,up
AMZN,2026-07-31,271.58,6,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion+trend_continuation,weak
EOG,2026-07-31,148.69,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MTD,2026-07-31,1416.3,4,fast_donchian+donchian_20+six_month_high+range_expansion,up
ZBRA,2026-07-31,293.82,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ANET,2026-07-31,180.35,3,fast_donchian+gap_go+trend_continuation,up
EA,2026-07-31,209.86,3,fast_donchian+donchian_20+six_month_high,up
WY,2026-07-31,25.03,3,volume_thrust+gap_go+range_expansion,up
CBOE,2026-07-31,310.23,3,fast_donchian+donchian_20+range_expansion,weak
MPWR,2026-07-31,1426.03,3,fast_donchian+donchian_20+range_expansion,weak
MSFT,2026-07-31,464.72,3,fast_donchian+donchian_20+six_month_high,weak
CME,2026-07-31,267.79,2,fast_donchian+donchian_20,down
HII,2026-07-31,326.45,2,fast_donchian+donchian_20,down
BEN,2026-07-31,33.86,2,fast_donchian+trend_continuation,up
BMY,2026-07-31,65.31,2,six_month_high+trend_continuation,up
MHK,2026-07-31,123.1,2,fast_donchian+donchian_20,up
NTAP,2026-07-31,178.5,2,fast_donchian+donchian_20,up
ROK,2026-07-31,480.08,2,fast_donchian+trend_continuation,up
REGN,2026-07-31,762.63,2,fast_donchian+donchian_20,weak
GNRC,2026-07-31,197.11,1,gap_go,down
ORCL,2026-07-31,129.87,1,fast_donchian,down
PDD,2026-07-31,88.56,1,squeeze_release,down
APH,2026-07-31,160.7,1,trend_continuation,up
CFG,2026-07-31,71.65,1,squeeze_release,up
CRWD,2026-07-31,190.86,1,trend_continuation,up
CVX,2026-07-31,196.83,1,trend_continuation,up
ERIE,2026-07-31,242.04,1,gap_go,up
FANG,2026-07-31,202.95,1,trend_continuation,up
FTNT,2026-07-31,161.95,1,trend_continuation,up
IEX,2026-07-31,230.45,1,squeeze_release,up
JCI,2026-07-31,146.66,1,trend_continuation,up
MPC,2026-07-31,316.47,1,trend_continuation,up
PANW,2026-07-31,331.83,1,trend_continuation,up
TDY,2026-07-31,655.57,1,trend_continuation,up
TRGP,2026-07-31,270.37,1,trend_continuation,up
VLO,2026-07-31,312.9,1,trend_continuation,up
APA,2026-07-31,37.32,1,trend_continuation,weak
COP,2026-07-31,120.48,1,trend_continuation,weak
ETN,2026-07-31,415.2,1,trend_continuation,weak
GOOG,2026-07-31,356.65,1,trend_continuation,weak
OXY,2026-07-31,57.07,1,trend_continuation,weak
TER,2026-07-31,367.69,1,squeeze_release,weak
TT,2026-07-31,454.95,1,gap_go,weak
