ticker,date,close,n_detectors,detectors,trend
PLTR,2026-05-29,156.54,6,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion+squeeze_release,down
DDOG,2026-05-29,247.35,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
DELL,2026-05-29,420.91,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
HPE,2026-05-29,43.04,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
WDAY,2026-05-29,146.19,5,fast_donchian+donchian_20+gap_go+range_expansion+squeeze_release,down
CRWD,2026-05-29,731.0,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
HPQ,2026-05-29,27.04,5,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion,up
MSFT,2026-05-29,450.24,5,fast_donchian+donchian_20+volume_thrust+range_expansion+squeeze_release,up
MU,2026-05-29,971.0,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
NTAP,2026-05-29,174.29,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
ORCL,2026-05-29,225.78,5,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion,up
PANW,2026-05-29,281.69,5,fast_donchian+donchian_20+six_month_high+range_expansion+trend_continuation,up
SMCI,2026-05-29,46.09,5,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion,up
IBM,2026-05-29,297.8,5,fast_donchian+donchian_20+volume_thrust+gap_go+range_expansion,weak
NOW,2026-05-29,124.37,4,fast_donchian+donchian_20+gap_go+range_expansion,down
ARM,2026-05-29,353.29,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
AVGO,2026-05-29,446.77,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
CPAY,2026-05-29,361.8,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-05-29,137.97,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
GS,2026-05-29,1025.56,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
JBHT,2026-05-29,276.43,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MGM,2026-05-29,43.67,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MS,2026-05-29,208.0,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MSCI,2026-05-29,631.38,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
ODFL,2026-05-29,225.15,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
TEAM,2026-05-29,107.61,4,fast_donchian+donchian_20+gap_go+range_expansion,up
URI,2026-05-29,995.67,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
AXON,2026-05-29,448.72,3,fast_donchian+donchian_20+squeeze_release,down
CRM,2026-05-29,191.1,3,fast_donchian+donchian_20+range_expansion,down
BBY,2026-05-29,77.95,3,fast_donchian+donchian_20+range_expansion,up
F,2026-05-29,17.44,3,fast_donchian+donchian_20+six_month_high,up
QCOM,2026-05-29,251.02,3,six_month_high+gap_go+trend_continuation,up
ACN,2026-05-29,187.07,2,fast_donchian+donchian_20,down
APTV,2026-05-29,67.94,2,fast_donchian+donchian_20,down
BR,2026-05-29,153.72,2,fast_donchian+squeeze_release,down
CDW,2026-05-29,125.45,2,fast_donchian+gap_go,down
CTSH,2026-05-29,55.76,2,fast_donchian+donchian_20,down
DHR,2026-05-29,182.67,2,fast_donchian+donchian_20,down
TMO,2026-05-29,492.51,2,fast_donchian+donchian_20,down
APP,2026-05-29,613.09,2,fast_donchian+donchian_20,up
CNC,2026-05-29,59.6,2,six_month_high+trend_continuation,up
DXCM,2026-05-29,73.74,2,fast_donchian+donchian_20,up
FDS,2026-05-29,245.47,2,fast_donchian+donchian_20,up
GEN,2026-05-29,25.79,2,fast_donchian+donchian_20,up
IVZ,2026-05-29,28.46,2,fast_donchian+donchian_20,up
NUE,2026-05-29,250.0,2,six_month_high+trend_continuation,up
RVTY,2026-05-29,104.55,2,fast_donchian+donchian_20,up
WAT,2026-05-29,383.57,2,fast_donchian+donchian_20,up
ALGN,2026-05-29,174.95,2,fast_donchian+trend_continuation,weak
DLTR,2026-05-29,116.44,2,fast_donchian+donchian_20,weak
GE,2026-05-29,323.76,2,fast_donchian+donchian_20,weak
HON,2026-05-29,237.86,2,fast_donchian+donchian_20,weak
KMX,2026-05-29,44.62,2,fast_donchian+donchian_20,weak
CPB,2026-05-29,21.11,1,fast_donchian,down
J,2026-05-29,119.86,1,fast_donchian,down
MTD,2026-05-29,1180.58,1,fast_donchian,down
NOC,2026-05-29,563.68,1,fast_donchian,down
RCL,2026-05-29,284.63,1,fast_donchian,down
SPGI,2026-05-29,424.0,1,fast_donchian,down
TECH,2026-05-29,51.68,1,fast_donchian,down
VMC,2026-05-29,282.92,1,fast_donchian,down
AKAM,2026-05-29,149.54,1,trend_continuation,up
ANET,2026-05-29,159.47,1,trend_continuation,up
BA,2026-05-29,231.15,1,trend_continuation,up
CCI,2026-05-29,91.5,1,squeeze_release,up
CSCO,2026-05-29,120.42,1,six_month_high,up
EMR,2026-05-29,143.82,1,fast_donchian,up
EXR,2026-05-29,144.31,1,squeeze_release,up
FSLR,2026-05-29,306.79,1,six_month_high,up
HBAN,2026-05-29,16.36,1,fast_donchian,up
IQV,2026-05-29,182.21,1,fast_donchian,up
PPG,2026-05-29,112.98,1,trend_continuation,up
TEL,2026-05-29,213.41,1,fast_donchian,up
WDC,2026-05-29,531.21,1,six_month_high,up
WST,2026-05-29,322.81,1,trend_continuation,up
APH,2026-05-29,148.76,1,fast_donchian,weak
TPR,2026-05-29,145.46,1,trend_continuation,weak
VZ,2026-05-29,47.81,1,squeeze_release,weak
