ticker,date,close,n_detectors,detectors,trend
MU,2026-05-26,895.88,6,fast_donchian+donchian_20+six_month_high+gap_go+range_expansion+trend_continuation,up
AMAT,2026-05-26,454.89,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
AMD,2026-05-26,503.89,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
ARM,2026-05-26,321.22,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
DAL,2026-05-26,79.39,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
ENPH,2026-05-26,66.9,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
KLAC,2026-05-26,2011.39,5,fast_donchian+donchian_20+six_month_high+squeeze_release+trend_continuation,up
LRCX,2026-05-26,322.68,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
ON,2026-05-26,127.0,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
TXN,2026-05-26,324.89,5,fast_donchian+donchian_20+six_month_high+gap_go+trend_continuation,up
CDNS,2026-05-26,381.75,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
DELL,2026-05-26,305.08,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FFIV,2026-05-26,397.0,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
GFS,2026-05-26,89.96,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
HPE,2026-05-26,38.06,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
HST,2026-05-26,23.11,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
JBHT,2026-05-26,267.63,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
JBL,2026-05-26,380.25,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
MRVL,2026-05-26,208.26,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NUE,2026-05-26,240.29,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
NXPI,2026-05-26,332.67,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
SNPS,2026-05-26,534.56,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
STLD,2026-05-26,250.49,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
STT,2026-05-26,158.52,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
STX,2026-05-26,845.76,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
DOC,2026-05-26,20.03,3,fast_donchian+donchian_20+six_month_high,up
