ticker,date,close,n_detectors,detectors,trend
ENPH,2026-05-15,52.89,6,fast_donchian+donchian_20+six_month_high+volume_thrust+range_expansion+trend_continuation,weak
COST,2026-05-15,1048.95,4,fast_donchian+donchian_20+six_month_high+squeeze_release,up
EBAY,2026-05-15,116.13,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
FTNT,2026-05-15,122.78,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
JBHT,2026-05-15,262.21,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
TRGP,2026-05-15,271.99,4,fast_donchian+donchian_20+six_month_high+trend_continuation,up
AIZ,2026-05-15,254.61,3,fast_donchian+donchian_20+six_month_high,up
CRWD,2026-05-15,594.08,3,fast_donchian+donchian_20+six_month_high,up
DDOG,2026-05-15,207.98,3,fast_donchian+donchian_20+six_month_high,up
OKE,2026-05-15,92.32,3,fast_donchian+donchian_20+trend_continuation,up
PANW,2026-05-15,242.83,3,fast_donchian+donchian_20+six_month_high,up
XOM,2026-05-15,157.92,3,fast_donchian+donchian_20+trend_continuation,up
KMI,2026-05-15,33.63,3,fast_donchian+donchian_20+trend_continuation,weak
ZS,2026-05-15,161.05,2,fast_donchian+donchian_20,down
CSCO,2026-05-15,118.21,2,six_month_high+trend_continuation,up
VRSN,2026-05-15,297.57,2,six_month_high+trend_continuation,up
WMB,2026-05-15,77.72,2,six_month_high+trend_continuation,up
DXCM,2026-05-15,61.63,1,gap_go,down
IT,2026-05-15,146.23,1,gap_go,down
LW,2026-05-15,44.06,1,fast_donchian,down
AAPL,2026-05-15,300.23,1,six_month_high,up
APA,2026-05-15,38.98,1,trend_continuation,up
COP,2026-05-15,122.41,1,trend_continuation,up
CZR,2026-05-15,27.8,1,trend_continuation,up
DVN,2026-05-15,49.49,1,trend_continuation,up
EOG,2026-05-15,140.26,1,trend_continuation,up
FANG,2026-05-15,203.56,1,trend_continuation,up
GL,2026-05-15,155.04,1,six_month_high,up
HOLX,2026-04-07,76.01,1,six_month_high,up
HUM,2026-05-15,305.12,1,six_month_high,up
MO,2026-05-15,73.09,1,trend_continuation,up
NTAP,2026-05-15,119.93,1,six_month_high,up
OXY,2026-05-15,59.62,1,trend_continuation,up
SBUX,2026-05-15,106.82,1,six_month_high,up
UNP,2026-05-15,270.56,1,fast_donchian,up
CINF,2026-05-15,166.42,1,fast_donchian,weak
CME,2026-05-15,298.86,1,trend_continuation,weak
MNST,2026-05-15,87.09,1,six_month_high,weak
ODFL,2026-05-15,203.12,1,trend_continuation,weak
