date,MU,SK Hynix,Samsung,SNDK,NVDA,AMD,AVGO,MRVL,CRDO,INTC,QCOM,CBRS,AMAT,LRCX,KLAC,LITE,COHR,AAOI,VRT,BE,ENPH,CRWD,DDOG,PANW,WDAY,TEAM,NOW,HUBS,SHOP,ADBE,MDB,U,CDNS,AMZN,GOOG,TSLA,DELL,UBER,IONQ,NKE,LULU,AS
2025-06-13,115.32394409179688,234520.0,57289.55078125,42.5,141.7811737060547,116.16000366210938,246.7010955810547,67.00884246826172,73.48999786376953,20.139999389648438,151.52627563476562,,169.34768676757812,88.86885070800781,862.1135864257812,82.46499633789062,77.37000274658203,15.470000267028809,110.83299255371094,21.950000762939453,45.599998474121094,480.6199951171875,120.44999694824219,196.27000427246094,244.5399932861328,196.82000732421875,197.73199462890625,554.5900268554688,105.33999633789062,391.67999267578125,205.6300048828125,23.65999984741211,300.0,212.10000610351562,175.3791961669922,325.30999755859375,107.9190673828125,83.93000030517578,37.84000015258789,58.91335678100586,239.11000061035156,36.2400016784668
2025-06-16,119.55382537841797,246967.984375,56208.62109375,44.209999084472656,144.49754333496094,126.38999938964844,250.07376098632812,70.23013305664062,79.16999816894531,20.739999771118164,153.63189697265625,,175.26429748535156,92.73056030273438,886.6653442382812,85.77999877929688,80.76000213623047,17.09000015258789,116.3460693359375,22.90999984741211,45.93000030517578,479.3900146484375,121.93000030517578,198.11000061035156,245.64999389648438,200.32000732421875,201.0260009765625,549.5700073242188,108.37000274658203,401.7300109863281,202.5,24.399999618530273,300.80999755859375,216.10000610351562,177.43333435058594,329.1300048828125,112.03646087646484,85.12000274658203,38.43000030517578,60.246768951416016,241.2899932861328,37.119998931884766
2025-06-17,120.0526351928711,247963.84375,57093.0234375,44.09000015258789,143.9282989501953,127.0999984741211,247.36569213867188,69.80128479003906,79.70999908447266,20.799999237060547,151.27163696289062,,172.82220458984375,91.98602294921875,887.2813720703125,86.34500122070312,79.7699966430664,16.780000686645508,116.50592803955078,21.34000015258789,34.91999816894531,492.0299987792969,124.83999633789062,202.0500030517578,242.6999969482422,198.1999969482422,200.98199462890625,554.8499755859375,106.52999877929688,382.67999267578125,205.60000610351562,23.549999237060547,299.0,214.82000732421875,176.725341796875,316.3500061035156,114.19366455078125,84.76000213623047,38.040000915527344,58.397518157958984,235.1999969482422,36.060001373291016
2025-06-18,121.52910614013672,245474.234375,58763.55859375,46.619998931884766,145.2864990234375,126.79000091552734,249.24050903320312,74.74791717529297,85.58999633789062,21.489999771118164,150.45877075195312,,171.58131408691406,91.79692077636719,865.5811767578125,88.45999908447266,82.29000091552734,19.770000457763672,118.97371673583984,21.5,36.380001068115234,485.1600036621094,130.0399932861328,199.77999877929688,236.8800048828125,196.13999938964844,196.41600036621094,544.4600219726562,105.97000122070312,378.0400085449219,204.14999389648438,23.90999984741211,296.8399963378906,212.52000427246094,173.48458862304688,322.04998779296875,114.81422424316406,83.44000244140625,39.630001068115234,57.92060089111328,228.64999389648438,36.189998626708984
2025-06-20,123.30485534667969,255930.546875,58468.7578125,46.58000183105469,143.65866088867188,128.24000549316406,248.5644073486328,73.31180572509766,85.51000213623047,21.079999923706055,148.19647216796875,,168.22593688964844,90.05532836914062,844.5567626953125,89.66000366210938,81.19999694824219,23.450000762939453,118.4342041015625,21.75,35.849998474121094,476.29998779296875,127.5,199.24000549316406,238.19000244140625,189.52999877929688,194.28199768066406,534.510009765625,106.4000015258789,376.9200134277344,201.5,23.06999969482422,295.3999938964844,209.69000244140625,167.2523956298828,322.1600036621094,117.58214569091797,83.77999877929688,40.36000061035156,58.1931266784668,227.47000122070312,36.41999816894531
2025-06-23,121.78848266601562,258420.125,56994.75390625,46.95000076293945,143.97824096679688,129.5800018310547,252.32284545898438,70.58916473388672,84.56999969482422,21.190000534057617,149.9788818359375,,170.7077178955078,91.16995239257812,850.7965698242188,89.16000366210938,80.63999938964844,22.56999969482422,116.43598175048828,22.559999465942383,34.560001373291016,491.80999755859375,129.52000427246094,203.32000732421875,236.5800018310547,192.74000549316406,196.0800018310547,536.510009765625,109.9800033569336,380.1199951171875,203.24000549316406,23.299999237060547,293.55999755859375,208.47000122070312,165.5372772216797,348.67999267578125,116.25234985351562,85.23999786376953,41.13999938964844,59.156681060791016,225.55999755859375,37.119998931884766
2025-06-24,127.60456848144531,277341.0625,59451.42578125,47.34000015258789,147.70326232910156,138.42999267578125,262.2658386230469,75.00721740722656,91.91999816894531,22.549999237060547,152.49583435058594,,178.86785888671875,95.17063903808594,883.3367919921875,91.80999755859375,80.95999908447266,23.290000915527344,122.21083068847656,22.950000762939453,38.380001068115234,485.3800048828125,130.8300018310547,201.69000244140625,239.19000244140625,200.6699981689453,199.26400756835938,557.3200073242188,114.41999816894531,382.3399963378906,209.25,24.040000915527344,296.79998779296875,212.77000427246094,167.2623748779297,340.4700012207031,118.78386688232422,91.6500015258789,40.86000061035156,59.77958679199219,232.92999267578125,37.68000030517578
2025-06-25,126.94613647460938,284809.875,60237.55859375,47.25,154.104736328125,143.39999389648438,263.14080810546875,75.72528076171875,92.19999694824219,22.200000762939453,152.71128845214844,,181.73683166503906,95.55876922607422,887.7384643554688,91.7699966430664,85.62999725341797,26.229999542236328,121.53143310546875,21.600000381469727,38.11000061035156,494.0899963378906,130.24000549316406,204.3000030517578,233.4600067138672,198.36000061035156,201.03199768066406,543.3599853515625,113.88999938964844,387.54998779296875,206.75999450683594,24.149999618530273,297.5299987792969,211.99000549316406,171.00169372558594,327.54998779296875,118.65581512451172,90.9000015258789,38.11000061035156,59.20534896850586,231.52000427246094,37.310001373291016
2025-06-26,125.6991195678711,291780.75,59156.625,47.439998626708984,154.81381225585938,143.67999267578125,268.6293029785156,79.75438690185547,95.05000305175781,22.5,154.92465209960938,,182.1835479736328,96.37482452392578,897.15771484375,94.70999908447266,89.87999725341797,27.770000457763672,123.68950653076172,22.329999923706055,43.0,505.2200012207031,131.1199951171875,202.33999633789062,237.2100067138672,198.5,202.28799438476562,547.760009765625,113.06999969482422,384.95001220703125,209.1999969482422,23.399999618530273,303.69000244140625,217.1199951171875,173.93331909179688,325.7799987792969,124.0931396484375,93.12000274658203,41.119998931884766,60.86967086791992,231.5800018310547,37.849998474121094
2025-06-27,124.46208953857422,282818.1875,60112.6953125,47.150001525878906,157.54017639160156,143.80999755859375,267.81402587890625,76.95195770263672,93.48999786376953,22.690000534057617,155.2674102783203,,181.8758087158203,96.73310089111328,884.1714477539062,94.75,87.2300033569336,26.219999313354492,127.0465087890625,22.18000030517578,40.880001068115234,499.3299865722656,132.0800018310547,200.57000732421875,237.3699951171875,202.32000732421875,204.48399353027344,550.6300048828125,113.6500015258789,385.8299865722656,209.9199981689453,24.31999969482422,305.20001220703125,223.3000030517578,177.76239013671875,323.6300048828125,122.13294219970703,91.52999877929688,40.25,70.11595153808594,235.02000427246094,39.36000061035156
