,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
NOW,0.9163281818717317,-0.11530244773619593,-0.07076371868745766,-0.2055899943347104,-0.020905047724498096,0.09121619437445688,-0.1025493875314519,0.04829410033337217,-0.12560014970881794,-0.1481470837829542,-0.20110741113590244
WDAY,0.8547484930980315,-0.2928123956283745,-0.24333451057703495,-0.031186167281054566,0.01869794176111052,-0.05245710315245778,-0.1344892526937638,0.029035205054249197,-0.2746342644913028,0.08238329994768157,0.1387043733366075
TEAM,0.8111160904374086,-0.2997535014062214,0.006898574542504202,-0.022910305882873072,0.17887942274642044,-0.2569903125095622,0.286404786568024,-0.26452554276702706,0.0037826569617863334,0.006337859965422965,-0.03960105640163541
HUBS,0.7588987438308813,-0.3362165006219448,-0.3132334987839474,0.088459766452282,0.11721461479787447,0.2587433816987541,0.2521646130766348,0.21437559048680835,0.11842210647134538,0.006927018550586176,0.028066670862960993
ADBE,0.8206934441334809,-0.2617357639129101,-0.23291185202539338,-0.13809527185397572,-0.14688996264361118,-0.09902451586764188,-0.2785966366862434,-0.06716444291920683,0.26059867543049997,0.05650775464454514,0.004895458919462235
SHOP,0.6671720215233111,-0.23369060113799578,0.4952056644717583,0.3499804255991575,0.18253886237578465,0.2327067913808845,-0.1741702440162273,-0.1175479590598746,0.014700871502791778,0.02635844360367539,-0.004322201358245147
CRWD,0.7220316898963816,0.6049364726447471,-0.05796300997851623,-0.10766558044858811,0.16783448775965068,0.04712693951124252,-0.03425389560714801,-0.08287587177538347,0.051947595956212275,-0.19220338854207888,0.14035211655576169
PANW,0.6383004183715453,0.6672073840204733,0.05988465509945582,-0.23828948889605234,0.17326429424783113,0.07003316353866688,0.017477457534747744,0.02989810403388821,-0.0014073674868161192,0.2161537137356638,-0.0647294657204045
DDOG,0.7124716467717291,0.3685671289073427,-0.06508320195397731,0.4761688306303906,-0.0014411947374288598,-0.29523063853180426,-0.03785719896644252,0.18499343597803095,0.00902347672528993,-0.01594962257201599,-0.049143526163370255
MDB,0.7665402920936176,0.2807631289566437,0.012668755905533235,0.13560925906572202,-0.4958179397291714,0.153639694875975,0.15428036055583977,-0.14037452001412196,-0.0382142238696751,0.022357968043240965,0.011377659367183813
U,0.6461216685428547,-0.17880575919440356,0.628359950261257,-0.2585219395884266,-0.12813468922270985,-0.1343415363834911,0.08106675350093193,0.20569163639494845,0.03013405812453097,-0.021657155245128852,0.06450861151012913
