strategy,basis,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,time_in_market,n_switches
buy_and_hold,gross,0.529887005232329,0.3786863708592956,1.1228127353063626,1.0908761596524976,-0.4136096326898818,1.281128299131346,0.5496098104793757,1.0,0
buy_and_hold,net,0.529887005232329,0.3786863708592956,1.1228127353063626,1.0908761596524976,-0.4136096326898818,1.281128299131346,0.5496098104793757,1.0,0
hmm,gross,0.2637863518624046,0.22165304087289142,1.0562104408357715,0.7507516504273785,-0.17567393801229525,1.5015679323130018,0.5481171548117155,0.5328874024526199,90
hmm,net,0.24790600918210814,0.22168285892152695,0.9990260637792135,0.7794431263446991,-0.17868080064595282,1.3874238770248275,0.5481171548117155,0.5328874024526199,90
cusum,gross,0.023738656005162007,0.299859640582292,0.07824085713219636,0.054792937890968285,-0.43271907327014747,0.05485927815883889,0.5357142857142857,0.5930880713489409,3
cusum,net,0.02330723078549113,0.2998668479298517,0.0768333191514575,0.0539154996062807,-0.43328621237664555,0.05379176654998359,0.5357142857142857,0.5930880713489409,3
coppock,gross,0.41013231409766737,0.373701189322346,0.919674728347,0.8777541106227478,-0.4136096326898817,0.991592752398923,0.5431530494821634,0.9687848383500557,7
coppock,net,0.4087460976380022,0.37371557573471265,0.9170075815167742,0.8784657869893736,-0.4136096326898817,0.988241243270255,0.5431530494821634,0.9687848383500557,7
kalman,gross,0.13983065658507976,0.2004720356886431,0.6528576620048184,0.35100360870156805,-0.23188673378642088,0.6030127480853247,0.5486111111111112,0.3210702341137124,118
kalman,net,0.12108874680110526,0.20021458690853056,0.5708890158869203,0.36870487163346793,-0.23457110098233636,0.5162134052063961,0.5486111111111112,0.3210702341137124,118
vix_ts,gross,0.43403265081111275,0.34416626761512703,1.0474312705356479,0.9806783539834899,-0.3418903782918674,1.2695082352992826,0.5441696113074205,0.9464882943143813,34
vix_ts,net,0.42719845007519974,0.34415482975038447,1.033585369442895,0.9885093702781234,-0.34713555796978424,1.2306386950782622,0.5441696113074205,0.9464882943143813,34
composite,gross,0.22898319020376756,0.3378529213979731,0.6102867248155638,0.5301783635299778,-0.40312079556312863,0.5680262410771831,0.5383615084525357,0.8573021181716833,37
composite,net,0.22261074679630122,0.3378166312423917,0.5949633916810723,0.5297145533385725,-0.40341923516534706,0.5518099470518828,0.5383615084525357,0.8573021181716833,37
composite_gated,gross,0.25860511876852343,0.32434946079246907,0.7091242222943557,0.618296824759669,-0.33785243117605845,0.7654380874760128,0.5361930294906166,0.8316610925306578,51
composite_gated,net,0.24961860401708202,0.3243228176453586,0.6870882215075851,0.6201732228240552,-0.3421435021380338,0.7295728326191515,0.5361930294906166,0.8316610925306578,51
hmm_walkforward,gross,0.2677282517397692,0.23628503850690835,1.0039845181810891,0.7333449964976976,-0.2784605855610228,0.9614583378124022,0.5466666666666666,0.5852842809364549,72
hmm_walkforward,net,0.25496825681951285,0.2362067752706298,0.961489265634954,0.7527297647308584,-0.2845691994673234,0.8959798084148963,0.5466666666666666,0.5852842809364549,72
