symbol,name,sector,market_cap_bn,close,day_ret_pct,n_detectors,detectors,trend,rev_growth
OVV,Ovintiv Inc. (DE),Energy,16.3,57.79,2.37,2,fast_donchian;donchian_20,weak,0.085
FOXA,Fox Corporation Class A Common Stock,Communication Services,24.2,57.62,1.43,2,fast_donchian;donchian_20,down,-0.086
FOX,Fox Corporation Class B Common Stock,Communication Services,21.7,51.63,1.08,2,fast_donchian;donchian_20,down,-0.086
SNY,Sanofi ADS,Healthcare,108.9,44.66,1.02,2,fast_donchian;donchian_20,up,0.06
ADBE,Adobe Inc. Common Stock,Technology,94.3,237.25,0.82,2,fast_donchian;donchian_20,down,0.127
VNOM,"Viper Energy, Inc. Class A Common Stock",Energy,15.8,44.38,0.73,2,fast_donchian;donchian_20,weak,1.091
ROKU,"Roku, Inc. Class A Common Stock",Communication Services,21.3,144.43,0.42,2,fast_donchian;donchian_20,up,0.224
BMY,Bristol-Myers Squibb Company Common Stock,Healthcare,124.0,60.74,0.38,2,fast_donchian;donchian_20,up,0.026
SQM,Sociedad Quimica y Minera S.A. Common Stock,Basic Materials,19.9,69.81,5.25,1,volume_thrust,down,0.698
BROS,Dutch Bros Inc. Class A Common Stock,Consumer Cyclical,11.9,68.36,4.61,1,trend_continuation,up,0.308
E,ENI S.p.A. Common Stock,Energy,78.3,49.77,3.6,1,gap_go,weak,-0.126
BG,Bunge Limited Common Shares,Consumer Defensive,23.1,119.15,2.87,1,fast_donchian,weak,0.878
APA,APA Corporation Common Stock,Energy,12.4,35.22,2.74,1,gap_go,weak,-0.119
RNR,RenaissanceRe Holdings Ltd. Common Stock,Financial Services,13.8,323.06,2.47,1,trend_continuation,up,-0.366
TLK,"PT Telekomunikasi Indonesia, Tbk",Communication Services,14.5,14.62,2.45,1,fast_donchian,down,0.015
AUR,"Aurora Innovation, Inc. Class A Common Stock",Consumer Cyclical,11.9,6.06,1.85,1,squeeze_release,weak,
CNA,CNA Financial Corporation Common Stock,Financial Services,14.1,52.27,1.65,1,trend_continuation,up,0.1
AIT,"Applied Industrial Technologies, Inc. Common Stock",Industrials,12.4,336.41,1.29,1,fast_donchian,up,0.073
AS,"Amer Sports, Inc. Ordinary Shares",Consumer Cyclical,20.3,36.44,1.14,1,squeeze_release,up,0.321
GIL,"Gildan Activewear, Inc. Class A Sub. Vot. Common Stock",Consumer Cyclical,10.0,54.08,0.93,1,squeeze_release,down,0.638
BCH,Banco De Chile ADS,Financial Services,20.3,40.14,0.55,1,squeeze_release,up,0.136
SPG,"Simon Property Group, Inc. Common Stock",Real Estate,74.2,228.7,0.09,1,trend_continuation,up,0.193
