date,price,ret,f1,f2,regime,pBear,pNeutral,pBull
2000-01-03,1455.219970703125,-0.009594994700275805,-0.000258214094416509,0.004873240218277438,2.0,2.118834700018547e-06,0.009010303124346749,0.9909875780409533
2000-01-04,1399.4200439453125,-0.03909917534093754,-0.008154907442361647,0.01621826735019946,0.0,0.8291670375185152,0.17083296248148558,1.4836306183716433e-18
2000-01-05,1402.1099853515625,0.0019203379615859717,-0.008565046782885232,0.015929796017510656,0.0,0.9993324510426634,0.0006675489573364875,5.941524240015354e-23
2000-01-06,1403.449951171875,0.0009552217400567997,-0.00851198521851515,0.01596094698518603,0.0,0.9997490212418448,0.0002509787581550005,3.4957886814353564e-23
2000-01-07,1441.469970703125,0.026729949729870306,-0.003817732121940054,0.02129330599923842,0.0,0.9999999977582612,2.241738903501576e-09,8.462860797827277e-36
2000-01-10,1457.5999755859375,0.01112782487313968,0.00032683179274304306,0.021776731906627707,0.0,0.9999999990874668,9.125332960579538e-10,2.5169149752713007e-34
2000-01-11,1438.56005859375,-0.013148576788903021,0.005516951503149947,0.013142451427044979,0.0,0.9695615676377286,0.0304384274468941,4.91537739739851e-09
2000-01-12,1432.25,-0.004396019678609697,0.004253679975110813,0.013718398167981911,0.0,0.9778416758702625,0.02215832372343402,4.063035656596316e-10
2000-01-13,1449.6800537109375,0.012096245165417407,0.006481884660182935,0.013905205952587494,0.0,0.9871882547057355,0.012811745102840007,1.9142462360094417e-10
2000-01-14,1465.1500244140625,0.010614763497340363,0.0032588474136769465,0.010216951266144698,0.0,0.6598690683326786,0.3400423181590364,8.861350828501863e-05
2000-01-18,1455.1400146484375,-0.006855516976735032,-0.00033782095629799616,0.009976270944801859,1.0,0.23501532634943878,0.7649522925803686,3.238107019250213e-05
2000-01-19,1455.9000244140625,0.0005221568736217819,0.0023963257762069645,0.00770553327046845,1.0,0.039813336196309154,0.9446366297047809,0.015550034098909841
2000-01-20,1445.5699462890625,-0.007120612569861073,0.0018514071979566892,0.008244121449034593,1.0,0.011571660247949912,0.9820026316702104,0.00642570808183983
2000-01-21,1441.3599853515625,-0.0029165681339531346,-0.001151155461917419,0.006519626729897743,1.0,0.006537174032149398,0.965819612473273,0.027643213494577573
