ticker,episodes,caught,recall_%,signals,false_alarm_%,signals_per_yr
DUK,0,0,,62,100.0,15.4
GD,0,0,,63,100.0,15.6
FRT,0,0,,53,100.0,13.1
EXC,0,0,,53,100.0,13.1
FE,0,0,,60,100.0,14.9
SO,0,0,,59,100.0,14.6
RSG,0,0,,59,100.0,14.6
ROP,0,0,,48,100.0,11.9
GIS,0,0,,34,100.0,8.4
CTAS,0,0,,61,100.0,15.1
CPB,0,0,,36,100.0,8.9
EVRG,0,0,,64,100.0,15.9
EQR,0,0,,61,100.0,15.1
CNP,0,0,,68,100.0,16.9
CMS,0,0,,63,100.0,15.6
CINF,0,0,,59,100.0,14.6
AZN,0,0,,57,100.0,14.1
BRO,0,0,,66,100.0,16.4
BR,0,0,,54,100.0,13.4
BDX,0,0,,44,100.0,10.9
CB,0,0,,62,100.0,15.4
TRV,0,0,,67,100.0,16.6
XEL,0,0,,60,100.0,14.9
ZBH,0,0,,48,100.0,11.9
ACN,0,0,,53,100.0,13.1
