ticker,algorithm,entry_date,entry_price,outcome,breakout_class,days_to_resolve,fwd_return_%,max_favorable_%,max_adverse_%
FN,darvas_box,2023-08-22,153.66,timeout_up,marginal,20,0.1,6.7,-4.6
FN,darvas_box,2023-09-28,167.9,true,confirmed,6,-8.7,9.4,-9.7
FN,darvas_box,2023-12-14,186.91,timeout_up,marginal,20,0.7,7.0,-3.0
FN,darvas_box,2024-01-19,201.96,true,confirmed,7,-2.6,13.4,-17.5
FN,darvas_box,2024-05-14,232.39,timeout_up,marginal,20,2.3,7.7,-2.8
FN,darvas_box,2024-06-18,254.33,false,fakeout,2,-6.7,4.7,-7.8
FN,darvas_box,2024-07-16,265.5,false,fakeout,1,-18.0,-0.3,-30.9
FN,darvas_box,2024-08-20,268.0,false,fakeout,4,-14.5,2.4,-25.0
FN,darvas_box,2025-06-12,256.97,true,confirmed,7,15.4,16.9,-5.0
FN,darvas_box,2025-07-15,301.47,true,confirmed,10,15.5,15.8,-3.0
FN,darvas_box,2025-09-04,362.16,true,confirmed,13,2.0,9.7,-3.9
FN,darvas_box,2025-09-19,383.13,false,confirmed,4,7.0,12.8,-7.5
FN,darvas_box,2025-10-15,398.34,true,confirmed,1,12.3,25.0,-3.1
FN,darvas_box,2025-12-09,498.45,false,fakeout,3,-11.1,6.6,-14.8
FN,darvas_box,2026-02-20,546.13,true,confirmed,2,-7.3,15.9,-13.6
FN,darvas_box,2026-04-10,662.13,true,confirmed,7,-6.2,11.0,-8.2
FN,darvas_box,2026-05-14,746.47,false,fakeout,1,-3.3,-1.0,-7.3
FN,bollinger_squeeze,2021-08-17,96.46,true,confirmed,4,10.8,11.7,-0.4
FN,bollinger_squeeze,2021-09-27,108.81,false,fakeout,2,-10.8,0.0,-12.6
FN,bollinger_squeeze,2021-12-27,122.03,false,fakeout,8,-11.8,3.5,-12.0
FN,bollinger_squeeze,2022-03-18,105.09,false,fakeout,15,-8.1,3.1,-9.7
FN,bollinger_squeeze,2022-07-19,86.22,true,confirmed,7,34.2,36.7,-0.8
FN,bollinger_squeeze,2023-01-11,134.68,false,fakeout,11,-9.5,4.1,-10.8
FN,bollinger_squeeze,2023-05-22,97.53,true,confirmed,3,31.3,37.1,-1.6
FN,bollinger_squeeze,2023-07-13,134.9,false,fakeout,5,-9.8,-0.3,-11.7
FN,bollinger_squeeze,2023-08-22,153.66,timeout_up,marginal,20,0.1,6.7,-4.6
FN,bollinger_squeeze,2023-09-28,167.9,true,confirmed,6,-8.7,9.4,-9.7
FN,bollinger_squeeze,2023-12-13,176.17,true,confirmed,3,7.2,13.5,2.0
FN,bollinger_squeeze,2024-01-19,201.96,true,confirmed,7,-2.6,13.4,-17.5
FN,bollinger_squeeze,2024-06-18,254.33,false,fakeout,2,-6.7,4.7,-7.8
FN,bollinger_squeeze,2024-07-15,255.67,false,fakeout,3,-18.9,4.2,-28.2
FN,bollinger_squeeze,2024-10-09,253.05,false,marginal,7,-2.5,6.7,-17.7
FN,bollinger_squeeze,2025-01-17,241.89,true,confirmed,2,-0.4,16.5,-24.2
FN,bollinger_squeeze,2025-06-11,243.2,true,confirmed,5,19.8,23.5,-0.3
FN,bollinger_squeeze,2025-08-08,343.99,false,confirmed,4,7.8,9.9,-20.8
FN,bollinger_squeeze,2025-10-15,398.34,true,confirmed,1,12.3,25.0,-3.1
FN,ttm_squeeze,2021-08-18,98.77,true,confirmed,15,8.0,9.1,-1.8
FN,ttm_squeeze,2021-12-23,118.02,false,marginal,17,-2.6,7.0,-8.0
FN,ttm_squeeze,2023-01-12,136.26,false,fakeout,10,-9.9,2.9,-11.9
FN,ttm_squeeze,2024-07-16,265.5,false,fakeout,1,-18.0,-0.3,-30.9
FN,ttm_squeeze,2025-04-24,199.0,true,confirmed,5,14.7,17.5,-2.7
FN,ttm_squeeze,2025-06-11,243.2,true,confirmed,5,19.8,23.5,-0.3
FN,ttm_squeeze,2025-10-16,412.46,false,confirmed,4,-2.4,20.7,-6.4
FN,ttm_squeeze,2026-02-20,546.13,true,confirmed,2,-7.3,15.9,-13.6
FN,volume_resistance,2021-08-18,98.77,true,confirmed,15,8.0,9.1,-1.8
FN,volume_resistance,2021-09-17,105.36,false,fakeout,13,-6.8,4.0,-6.8
FN,volume_resistance,2021-10-06,100.35,false,confirmed,13,14.8,15.5,-6.0
FN,volume_resistance,2021-11-02,111.21,true,confirmed,3,2.8,10.2,-3.0
FN,volume_resistance,2022-08-03,96.84,true,confirmed,9,6.2,22.8,-3.6
FN,volume_resistance,2022-11-08,121.92,true,confirmed,15,4.9,10.2,-5.0
FN,volume_resistance,2022-11-30,133.41,false,fakeout,11,-3.3,2.0,-8.0
FN,volume_resistance,2022-12-16,125.16,true,confirmed,17,8.1,12.0,-1.9
FN,volume_resistance,2023-06-12,126.64,timeout_up,marginal,20,4.5,5.9,-2.4
FN,volume_resistance,2023-08-22,153.66,timeout_up,marginal,20,0.1,6.7,-4.6
FN,volume_resistance,2023-09-28,167.9,true,confirmed,6,-8.7,9.4,-9.7
FN,volume_resistance,2023-12-14,186.91,timeout_up,marginal,20,0.7,7.0,-3.0
FN,volume_resistance,2024-01-19,201.96,true,confirmed,7,-2.6,13.4,-17.5
FN,volume_resistance,2024-02-05,223.6,false,fakeout,1,-1.3,1.0,-25.5
FN,volume_resistance,2024-08-20,268.0,false,fakeout,4,-14.5,2.4,-25.0
FN,volume_resistance,2025-07-02,288.83,true,confirmed,11,12.1,15.2,-2.9
FN,volume_resistance,2025-07-31,323.73,false,confirmed,1,9.7,11.2,-15.8
FN,volume_resistance,2025-08-15,329.8,false,confirmed,2,8.9,15.2,-17.4
FN,volume_resistance,2025-10-16,412.46,false,confirmed,4,-2.4,20.7,-6.4
FN,volume_resistance,2025-10-31,440.57,true,confirmed,2,2.0,13.0,-15.8
FN,volume_resistance,2026-04-10,662.13,true,confirmed,7,-6.2,11.0,-8.2
FN,volume_resistance,2026-05-04,717.8,false,marginal,1,0.6,4.3,-15.7
FN,high_52w_momentum,2022-11-10,125.39,timeout_up,marginal,20,3.9,7.2,-2.4
FN,high_52w_momentum,2022-11-30,133.41,false,fakeout,11,-3.3,2.0,-8.0
FN,high_52w_momentum,2023-01-11,134.68,false,fakeout,11,-9.5,4.1,-10.8
FN,high_52w_momentum,2023-09-28,167.9,true,confirmed,6,-8.7,9.4,-9.7
FN,high_52w_momentum,2023-12-15,188.53,timeout_down,marginal,20,-1.0,6.1,-3.9
FN,high_52w_momentum,2024-01-19,201.96,true,confirmed,7,-2.6,13.4,-17.5
FN,high_52w_momentum,2024-03-06,225.01,false,fakeout,3,-16.8,0.8,-20.0
FN,high_52w_momentum,2024-05-23,242.39,false,marginal,7,-1.9,6.0,-5.6
FN,high_52w_momentum,2024-06-17,248.28,timeout_up,marginal,20,1.8,7.3,-4.7
FN,high_52w_momentum,2024-07-15,255.67,false,fakeout,3,-18.9,4.2,-28.2
FN,high_52w_momentum,2025-06-24,276.5,true,confirmed,2,10.4,13.7,0.1
FN,high_52w_momentum,2025-07-15,301.47,true,confirmed,10,15.5,15.8,-3.0
FN,high_52w_momentum,2025-07-31,323.73,false,confirmed,1,9.7,11.2,-15.8
FN,high_52w_momentum,2025-08-28,355.05,false,confirmed,1,1.1,11.9,-11.8
FN,high_52w_momentum,2025-09-18,378.01,false,confirmed,5,9.1,14.3,-6.2
FN,high_52w_momentum,2025-10-15,398.34,true,confirmed,1,12.3,25.0,-3.1
FN,high_52w_momentum,2025-11-04,459.6,false,marginal,3,-2.7,7.7,-19.3
FN,high_52w_momentum,2025-12-08,491.03,true,confirmed,3,-4.2,8.2,-13.6
FN,high_52w_momentum,2026-02-20,546.13,true,confirmed,2,-7.3,15.9,-13.6
FN,high_52w_momentum,2026-04-09,618.26,true,confirmed,1,1.3,18.8,-0.8
FN,high_52w_momentum,2026-04-24,720.19,false,fakeout,1,0.3,4.0,-16.0
FN,high_52w_momentum,2026-05-14,746.47,false,fakeout,1,-3.3,-1.0,-7.3
CIEN,donchian_20,2021-06-02,54.41,true,confirmed,1,4.6,12.3,2.0
CIEN,donchian_20,2021-09-02,58.51,false,fakeout,2,-10.7,-0.3,-14.0
CIEN,donchian_20,2021-11-01,55.26,true,confirmed,1,9.0,13.2,4.2
CIEN,donchian_20,2021-12-07,62.97,true,confirmed,2,19.7,24.3,-1.6
CIEN,donchian_20,2021-12-22,75.73,false,fakeout,16,-14.3,3.4,-14.5
CIEN,donchian_20,2022-03-02,70.18,false,fakeout,2,-12.6,1.3,-24.1
CIEN,donchian_20,2022-07-19,49.25,true,confirmed,14,13.0,13.5,-3.4
CIEN,donchian_20,2022-08-05,52.89,false,fakeout,18,-16.4,6.6,-16.7
CIEN,donchian_20,2022-10-21,43.08,true,confirmed,3,4.0,12.7,-4.7
CIEN,donchian_20,2022-12-08,51.87,false,fakeout,5,0.1,2.5,-8.3
CIEN,donchian_20,2023-05-26,47.99,false,fakeout,6,-13.0,3.3,-14.9
CIEN,donchian_20,2023-08-31,49.98,false,fakeout,14,-5.4,1.5,-8.5
CIEN,donchian_20,2023-11-14,45.67,false,marginal,20,-3.0,5.9,-5.6
CIEN,donchian_20,2023-12-01,46.75,false,fakeout,5,-3.4,3.4,-9.7
CIEN,donchian_20,2024-01-09,47.9,true,confirmed,7,16.5,17.5,-0.3
CIEN,donchian_20,2024-02-01,54.09,true,confirmed,20,12.5,12.8,-1.7
CIEN,donchian_20,2024-03-01,60.84,false,fakeout,4,-19.1,3.9,-19.4
CIEN,donchian_20,2024-05-06,48.95,timeout_down,fakeout,20,-3.8,2.7,-4.4
CIEN,donchian_20,2024-07-16,51.67,false,fakeout,3,-3.9,3.8,-13.1
CIEN,donchian_20,2024-07-31,52.74,false,confirmed,2,8.1,9.0,-14.9
CIEN,donchian_20,2024-08-15,54.31,true,confirmed,13,3.4,9.1,-6.7
CIEN,donchian_20,2024-09-23,61.68,true,confirmed,9,7.9,13.3,-3.4
CIEN,donchian_20,2024-10-09,67.48,false,fakeout,12,1.5,3.6,-6.6
CIEN,donchian_20,2024-11-07,70.32,false,marginal,7,4.6,4.9,-6.7
CIEN,donchian_20,2024-12-06,73.58,true,confirmed,4,11.3,24.8,-4.1
CIEN,donchian_20,2025-01-22,94.85,false,fakeout,3,-8.9,6.9,-21.0
