regime,days,share,ann_ret,ann_vol,daily_mean_bps,hit_rate,sharpe
Bear,987,0.1479094859883111,0.09326704940944867,0.3524855142524819,3.7010733892638363,0.5157041540020263,0.2645982476841362
Neutral,2533,0.37958939007942455,0.0959168738087291,0.1856320255588596,3.8062251511400436,0.5341492301618634,0.5167043429697085
Bull,3153,0.47250112393226434,0.024350877553479297,0.11061444930143434,0.9663046648206071,0.5470980019029495,0.2201419227213826
