Date,Close
2005-03-22,46.40983200073242
2005-03-23,46.07051086425781
2005-03-24,46.240196228027344
2005-03-28,46.25910186767578
2005-03-29,45.59638214111328
2005-03-30,46.26669692993164
2005-03-31,46.25910186767578
2005-04-01,46.06597137451172
2005-04-04,46.23638916015625
2005-04-05,46.31969451904297
2005-04-06,46.46360778808594
2005-04-07,46.64537811279297
2005-04-08,45.93721008300781
2005-04-11,45.70995330810547
2005-04-12,46.13792419433594
2005-04-13,45.312339782714844
2005-04-14,44.4034309387207
2005-04-15,43.79372787475586
2005-04-18,44.07396697998047
2005-04-19,44.80105972290039
2005-04-20,44.1004638671875
2005-04-21,45.179786682128906
2005-04-22,44.448890686035156
2005-04-25,44.85788345336914
2005-04-26,44.2254524230957
2005-04-27,44.206504821777344
2005-04-28,43.07796096801758
2005-04-29,43.642242431640625
2005-05-02,44.08911895751953
2005-05-03,44.30876541137695
2005-05-04,44.80105972290039
2005-05-05,44.793521881103516
2005-05-06,44.95255661010742
2005-05-09,45.38428497314453
2005-05-10,44.842735290527344
2005-05-11,44.86547088623047
2005-05-12,44.15728759765625
2005-05-13,43.99821853637695
2005-05-16,44.676124572753906
2005-05-17,44.941192626953125
2005-05-18,45.84253692626953
2005-05-19,45.95614242553711
2005-05-20,45.899330139160156
2005-05-23,46.20230484008789
2005-05-24,46.01294708251953
2005-05-25,45.66832733154297
2005-05-26,46.30455017089844
2005-05-27,46.56206512451172
2005-05-31,46.46360778808594
2005-06-01,46.990020751953125
2005-06-02,47.11876678466797
2005-06-03,46.774131774902344
2005-06-06,46.9483528137207
2005-06-07,47.04304504394531
2005-06-08,46.74386215209961
2005-06-09,47.20209503173828
2005-06-10,47.30055236816406
2005-06-13,47.512638092041016
2005-06-14,47.92164611816406
2005-06-15,48.05039596557617
2005-06-16,48.52000045776367
2005-06-17,48.48969268798828
2005-06-20,48.34241485595703
2005-06-21,48.47906494140625
2005-06-22,48.59294891357422
2005-06-23,47.735107421875
2005-06-24,47.22646713256836
2005-06-27,47.34794235229492
2005-06-28,48.08431625366211
2005-06-29,48.46388626098633
2005-06-30,48.35760498046875
2005-07-01,48.57016372680664
2005-07-05,49.336910247802734
2005-07-06,48.889007568359375
2005-07-07,49.02565383911133
2005-07-08,50.08086395263672
2005-07-11,50.69578170776367
2005-07-12,50.53636169433594
2005-07-13,50.4224739074707
2005-07-14,50.0580940246582
2005-07-15,50.103641510009766
2005-07-18,49.815155029296875
2005-07-19,50.51356506347656
2005-07-20,51.12847900390625
2005-07-21,50.33138656616211
2005-07-22,51.105709075927734
2005-07-25,50.77166748046875
2005-07-26,50.923519134521484
2005-07-27,51.0677604675293
2005-07-28,51.591556549072266
2005-07-29,51.538414001464844
2005-08-01,51.51564025878906
2005-08-02,51.902793884277344
2005-08-03,51.64469909667969
2005-08-04,50.77927017211914
2005-08-05,50.08086395263672
2005-08-08,49.90626525878906
2005-08-09,49.982173919677734
2005-08-10,49.91384506225586
2005-08-11,50.34656524658203
2005-08-12,49.7392463684082
2005-08-15,50.27064895629883
2005-08-16,49.39004135131836
2005-08-17,49.3293342590332
2005-08-18,49.16987228393555
2005-08-19,49.42801284790039
2005-08-22,49.708885192871094
2005-08-23,49.70128631591797
2005-08-24,49.50392150878906
2005-08-25,49.777183532714844
