Date,pct_below_200dma,n_constituents
2006-05-16,27.692307692307693,390
2006-05-17,33.333333333333336,390
2006-05-18,35.38461538461539,390
2006-05-19,33.58974358974359,390
2006-05-22,34.35897435897436,390
2006-05-23,38.717948717948715,390
2006-05-24,37.69230769230769,390
2006-05-25,33.07692307692308,390
2006-05-26,30.434782608695652,391
2006-05-30,38.61892583120205,391
2006-05-31,33.248081841432224,391
2006-06-01,28.644501278772378,391
2006-06-02,26.854219948849106,391
2006-06-05,34.0153452685422,391
2006-06-06,34.0153452685422,391
2006-06-07,37.34015345268542,391
2006-06-08,38.107416879795394,391
2006-06-09,39.130434782608695,391
2006-06-12,45.78005115089514,391
2006-06-13,50.38363171355499,391
2006-06-14,49.87212276214834,391
2006-06-15,39.38618925831202,391
2006-06-16,40.92071611253197,391
2006-06-19,46.03580562659847,391
2006-06-20,46.29156010230179,391
2006-06-21,41.94373401534527,391
2006-06-22,44.75703324808184,391
2006-06-23,43.47826086956522,391
2006-06-26,40.92071611253197,391
2006-06-27,45.26854219948849,391
2006-06-28,42.710997442455245,391
2006-06-29,34.78260869565217,391
2006-06-30,35.714285714285715,392
2006-07-03,32.142857142857146,392
2006-07-05,35.45918367346939,392
2006-07-06,35.204081632653065,392
2006-07-07,37.755102040816325,392
2006-07-10,39.03061224489796,392
2006-07-11,36.224489795918366,392
2006-07-12,40.05102040816327,392
2006-07-13,47.44897959183673,392
2006-07-14,48.214285714285715,392
2006-07-17,50.0,392
2006-07-18,50.255102040816325,392
2006-07-19,42.09183673469388,392
2006-07-20,46.93877551020408,392
2006-07-21,51.02040816326531,392
2006-07-24,46.93877551020408,392
2006-07-25,43.11224489795919,392
2006-07-26,41.83673469387755,392
2006-07-27,44.89795918367347,392
2006-07-28,37.755102040816325,392
2006-07-31,38.01020408163265,392
2006-08-01,41.326530612244895,392
2006-08-02,40.05102040816327,392
2006-08-03,38.775510204081634,392
2006-08-04,40.05102040816327,392
2006-08-07,42.60204081632653,392
2006-08-08,43.36734693877551,392
2006-08-09,43.87755102040816,392
2006-08-10,42.3469387755102,392
2006-08-11,44.89795918367347,392
2006-08-14,44.89795918367347,392
2006-08-15,40.56122448979592,392
2006-08-16,38.775510204081634,392
2006-08-17,36.98979591836735,392
2006-08-18,35.45918367346939,392
2006-08-21,38.52040816326531,392
2006-08-22,39.03061224489796,392
2006-08-23,40.05102040816327,392
2006-08-24,40.56122448979592,392
2006-08-25,41.58163265306123,392
2006-08-28,39.285714285714285,392
2006-08-29,38.775510204081634,392
2006-08-30,38.52040816326531,392
2006-08-31,36.47959183673469,392
2006-09-01,35.36895674300254,393
2006-09-05,33.842239185750635,393
2006-09-06,38.67684478371501,393
2006-09-07,40.966921119592875,393
2006-09-08,37.659033078880405,393
2006-09-11,37.913486005089055,393
2006-09-12,33.587786259541986,393
2006-09-13,31.297709923664122,393
2006-09-14,32.06106870229008,393
2006-09-15,31.552162849872772,393
2006-09-18,31.806615776081426,393
2006-09-19,32.82442748091603,393
2006-09-20,29.949238578680202,394
2006-09-21,32.74111675126903,394
2006-09-22,34.01015228426396,394
2006-09-25,31.218274111675125,394
2006-09-26,29.441624365482234,394
2006-09-27,27.918781725888326,394
2006-09-28,27.411167512690355,394
2006-09-29,27.411167512690355,394
2006-10-02,28.68020304568528,394
2006-10-03,28.934010152284262,394
2006-10-04,25.888324873096447,394
2006-10-05,24.619289340101524,394
2006-10-06,25.31645569620253,395
2006-10-09,24.303797468354432,395
2006-10-10,25.31645569620253,395
2006-10-11,24.050632911392405,395
2006-10-12,20.0,395
2006-10-13,20.0,395
2006-10-16,18.227848101265824,395
2006-10-17,20.253164556962027,395
2006-10-18,20.253164556962027,395
2006-10-19,20.253164556962027,395
2006-10-20,23.037974683544302,395
2006-10-23,21.265822784810126,395
2006-10-24,21.0126582278481,395
2006-10-25,20.50632911392405,395
